ActivityDay,StepTotal
4/12/2016,11875
4/13/2016,12024
4/14/2016,10690
4/15/2016,11034
4/16/2016,10100
4/17/2016,15112
4/18/2016,14131
4/19/2016,11548
4/20/2016,15112
4/21/2016,12453
4/22/2016,12954
4/23/2016,6001
4/24/2016,13481
4/25/2016,11369
4/26/2016,10119
4/27/2016,10159
4/28/2016,10140
4/29/2016,10245
4/30/2016,18387
5/1/2016,10538
5/2/2016,10379
5/3/2016,12183
5/4/2016,11768
5/5/2016,11895
5/6/2016,10227
5/7/2016,6708
5/8/2016,3292
5/9/2016,13379
5/10/2016,12798
5/11/2016,13272
5/12/2016,9117
